date,rating,deviation,n_faceoffs,wins,player_name
2020-01,1432.6249340422983,69.12066026802793,22,9,Grace Klienbach
2020-03,1464.3069193760434,68.09191639154444,24,11,Grace Klienbach
2021-11,1441.5240007132286,48.45267977056939,56,24,Grace Klienbach
2021-12,1498.4463681434827,41.84676396836947,79,38,Grace Klienbach
2022-01,1496.9177401379386,39.02082548450806,95,45,Grace Klienbach
2022-02,1445.6183419555357,26.994993275113057,192,82,Grace Klienbach
2022-03,1457.4224645621293,26.271858354299734,229,98,Grace Klienbach
Starting,1500.0,133.0,0,0,Jane Morrisette
2019-10,1539.1274730373148,70.48290304349675,22,12,Jane Morrisette
2019-11,1553.6319772475852,51.44623033686542,45,23,Jane Morrisette
2019-12,1436.14013239051,32.86233028438788,118,44,Jane Morrisette
2020-01,1451.5550367891335,29.38922962722405,161,65,Jane Morrisette
2020-02,1437.925530437522,29.286840871751675,180,69,Jane Morrisette
2020-03,1455.9537664572817,29.034447204356653,201,81,Jane Morrisette
Starting,1500.0,133.0,0,0,Kandice Sheriff
2019-10,1620.389429158033,95.5750142172215,8,6,Kandice Sheriff
2019-11,1593.248819922351,85.6422410706472,12,8,Kandice Sheriff
2019-12,1600.1473744075683,82.09946698531712,14,9,Kandice Sheriff
2020-01,1580.6886399498183,80.55303662316688,15,9,Kandice Sheriff
2020-02,1519.1975827293877,72.49189280948379,20,10,Kandice Sheriff
2020-03,1504.7012646807484,71.70117853145065,21,10,Kandice Sheriff
Starting,1500.0,133.0,0,0,Taylor Accursi
2019-10,1562.7997163382238,83.51082243101511,14,7,Taylor Accursi
2019-11,1496.2323927937878,71.81186727564464,21,8,Taylor Accursi
2019-12,1488.1123876659315,68.47962352072246,24,9,Taylor Accursi
2020-01,1503.608854076858,67.67782941808555,26,10,Taylor Accursi
2020-02,1487.1325326731746,62.170155253926616,32,12,Taylor Accursi
2020-03,1470.690514308119,60.90750380237465,35,12,Taylor Accursi
2021-11,1482.377846425929,63.95514458896112,36,13,Taylor Accursi
2022-01,1476.533915610259,64.87805242944742,37,13,Taylor Accursi
Starting,1500.0,133.0,0,0,Sarah Hughson
2019-10,1360.1432759658105,93.99066213833042,9,2,Sarah Hughson
2019-11,1404.3309189971224,86.05944941117758,13,4,Sarah Hughson
2019-12,1459.892153735898,79.46814867163755,17,7,Sarah Hughson
2020-01,1479.5740283980256,78.16756119576847,18,8,Sarah Hughson
2020-02,1571.957284924508,71.28144930490343,23,13,Sarah Hughson
2021-01,1543.1924994790452,63.42362547158486,32,17,Sarah Hughson
Starting,1500.0,133.0,0,0,Ana Orzechowski
2019-10,1541.716918454558,125.42823473733786,1,1,Ana Orzechowski
2019-11,1507.8610359344275,118.71756454601741,2,1,Ana Orzechowski
Starting,1500.0,133.0,0,0,Cailey Hutchison
2019-10,1475.6294202751994,33.58352626084739,127,57,Cailey Hutchison
2019-11,1473.7232294694281,32.832792011517476,143,63,Cailey Hutchison
2019-12,1520.4787276858963,21.700469472255584,316,158,Cailey Hutchison
2020-01,1535.2261792957067,19.840523988992658,426,219,Cailey Hutchison
2020-02,1530.2221374115768,20.772967007210394,473,242,Cailey Hutchison
2020-03,1531.9251690418428,22.242133229195485,497,255,Cailey Hutchison
2021-01,1533.0832671295314,23.63728690725559,525,270,Cailey Hutchison
2021-11,1534.1868525358555,27.515664685753457,559,288,Cailey Hutchison
2021-12,1529.5409447945506,26.305850225591875,597,308,Cailey Hutchison
2022-01,1531.6558575758784,27.056638368697705,613,316,Cailey Hutchison
2022-02,1543.5292753782983,27.787046582297087,627,326,Cailey Hutchison
2022-03,1512.55748095965,24.452573188247435,698,358,Cailey Hutchison
Starting,1500.0,133.0,0,0,Jillian Dempsey
2019-10,1552.273039479058,31.66256766048786,143,84,Jillian Dempsey
2019-11,1588.268019177261,27.08306181092429,205,127,Jillian Dempsey
2019-12,1573.2853234828326,21.71218857114403,337,205,Jillian Dempsey
2020-01,1579.4528212582607,18.8636801345931,490,304,Jillian Dempsey
2020-02,1588.3935661384528,19.82276625172457,548,342,Jillian Dempsey
2020-03,1595.48545323336,21.7997042215738,567,357,Jillian Dempsey
2021-01,1591.4290241856834,21.47505260503845,649,410,Jillian Dempsey
2021-02,1601.9003982213696,23.219010366881275,666,425,Jillian Dempsey
2021-03,1598.4587964885168,23.426620387958646,706,449,Jillian Dempsey
2021-11,1594.6876737076436,20.588765338831994,833,525,Jillian Dempsey
2021-12,1579.5404745776527,21.882353610646366,865,539,Jillian Dempsey
2022-01,1567.5178665629367,21.733841287714284,921,567,Jillian Dempsey
2022-02,1574.910641967756,21.520681394551577,980,603,Jillian Dempsey
2022-03,1536.758395280142,20.3041806133176,1071,640,Jillian Dempsey
Starting,1500.0,133.0,0,0,Carlee Toews
2019-10,1484.5018683284663,109.76215190452716,4,2,Carlee Toews
2019-11,1455.6457052852215,103.61416567713978,6,2,Carlee Toews
2020-02,1385.0640234569098,94.38818031357626,9,2,Carlee Toews
Starting,1500.0,133.0,0,0,Nichelle Simon
2019-10,1360.041579451749,78.86959785279528,16,4,Nichelle Simon
2019-12,1437.355932643608,66.77073146481699,27,10,Nichelle Simon
2020-02,1426.2225816754412,67.19100490664574,28,10,Nichelle Simon
Starting,1500.0,133.0,0,0,Mary Parker
