date,rating,deviation,n_faceoffs,wins,player_id,player_name
2016-12,1536.1667675256215,79.60615641867398,269,136,8471283,Brandon Prust
Starting,1500.0,240.0,0,0,8467423,Shawn Horcoff
2011-01,1483.0485554260192,56.97459978869263,63,26,8467423,Shawn Horcoff
2011-02,1536.4757991127005,26.26361860533016,247,123,8467423,Shawn Horcoff
2011-03,1489.0646676290642,25.631596720255335,372,174,8467423,Shawn Horcoff
2011-10,1515.5734123316283,24.89821381113053,558,261,8467423,Shawn Horcoff
2011-11,1534.2311015458424,22.62124176526958,745,356,8467423,Shawn Horcoff
2011-12,1539.1698553357605,29.62258075460176,795,382,8467423,Shawn Horcoff
2012-01,1556.7275869612076,23.787350583077508,1014,499,8467423,Shawn Horcoff
2012-02,1513.5568484629123,21.55017531784753,1221,598,8467423,Shawn Horcoff
2012-03,1516.2886436548315,20.067296144571028,1466,719,8467423,Shawn Horcoff
2012-04,1522.7706748070375,27.353903748141967,1538,758,8467423,Shawn Horcoff
2012-10,1529.81348896143,21.515724642043736,1758,877,8467423,Shawn Horcoff
2012-11,1516.4456195134921,20.00738071011123,2003,991,8467423,Shawn Horcoff
2012-12,1510.892847849922,19.700675397180955,2270,1110,8467423,Shawn Horcoff
2013-01,1584.311482625234,33.00321501883543,2359,1160,8467423,Shawn Horcoff
2013-02,1535.5830977637756,40.31107229228478,2372,1163,8467423,Shawn Horcoff
2013-03,1509.0543285051997,23.413333771704437,2575,1258,8467423,Shawn Horcoff
2013-04,1497.4248025887216,22.128341271336314,2770,1355,8467423,Shawn Horcoff
2014-01,1479.9299303156615,38.64127779570238,2824,1384,8467423,Shawn Horcoff
2014-02,1459.4520174009601,39.31122805120032,2853,1397,8467423,Shawn Horcoff
2014-03,1491.5831224949814,37.39278190498466,2892,1419,8467423,Shawn Horcoff
2014-04,1448.3989628056618,39.03853429094191,2920,1428,8467423,Shawn Horcoff
2014-10,1452.8207569139595,29.30514507300887,3027,1480,8467423,Shawn Horcoff
2014-11,1451.4955326105962,29.489414860318334,3105,1515,8467423,Shawn Horcoff
2014-12,1495.5281758762073,27.413712703230033,3209,1573,8467423,Shawn Horcoff
2015-01,1501.5405975719825,40.06187944577781,3257,1598,8467423,Shawn Horcoff
2015-02,1469.301134233,32.38936338902024,3334,1634,8467423,Shawn Horcoff
2015-03,1525.7825789196093,25.54911599599084,3483,1717,8467423,Shawn Horcoff
2015-04,1511.2824184588958,35.7569425682357,3494,1722,8467423,Shawn Horcoff
2015-10,1427.471319449857,34.02908375005693,3552,1743,8467423,Shawn Horcoff
2015-11,1477.601473925164,27.589179597897058,3667,1802,8467423,Shawn Horcoff
2015-12,1488.0872510070806,36.40541217804362,3681,1810,8467423,Shawn Horcoff
2016-01,1449.8118024301743,39.808932466814106,3735,1834,8467423,Shawn Horcoff
2016-03,1513.6882141658339,32.003205170821325,3832,1889,8467423,Shawn Horcoff
2016-04,1535.9461298546255,31.268994241736003,3903,1930,8467423,Shawn Horcoff
2016-10,1481.8010360271771,28.879113729530626,3998,1976,8467423,Shawn Horcoff
2016-11,1485.4906993985132,21.418929328504237,4221,2086,8467423,Shawn Horcoff
2016-12,1495.0957809677057,24.862057531577182,4341,2146,8467423,Shawn Horcoff
Starting,1500.0,240.0,0,0,8469581,Kyle Wellwood
2011-01,1492.9902444513027,71.90302588086486,35,17,8469581,Kyle Wellwood
2011-02,1485.144803437073,41.647360830968914,90,44,8469581,Kyle Wellwood
2011-03,1504.9850088400567,40.387642001203936,120,61,8469581,Kyle Wellwood
2011-04,1537.1531283998463,36.930847493135445,162,86,8469581,Kyle Wellwood
2012-01,1469.3346663698005,45.17257653842811,209,107,8469581,Kyle Wellwood
2012-02,1509.025881510457,39.21404637854707,247,130,8469581,Kyle Wellwood
2012-03,1522.216041563867,34.164578474633096,303,162,8469581,Kyle Wellwood
2012-04,1525.6121879051036,42.7919992498998,307,165,8469581,Kyle Wellwood
2012-10,1530.9919520877736,46.49855862880046,317,171,8469581,Kyle Wellwood
2012-11,1535.0820939597213,40.810461801763935,352,190,8469581,Kyle Wellwood
2012-12,1517.6430063156308,34.19217263363778,412,221,8469581,Kyle Wellwood
2013-01,1503.2478277229604,59.61478364923419,415,222,8469581,Kyle Wellwood
2013-02,1496.9383653801121,52.803811246299425,433,232,8469581,Kyle Wellwood
2013-03,1489.9272679613662,41.86607389851673,472,253,8469581,Kyle Wellwood
2013-04,1511.1412782118784,43.32650406006002,490,264,8469581,Kyle Wellwood
Starting,1500.0,240.0,0,0,8473562,John McCarthy
2011-01,1382.8547948145383,126.63616083402451,10,4,8473562,John McCarthy
2011-02,1451.5599876232468,102.63287455273102,16,7,8473562,John McCarthy
2011-03,1301.9041441800164,89.21371588935622,23,8,8473562,John McCarthy
2011-11,1282.4993662721474,82.80263912309536,30,10,8473562,John McCarthy
2011-12,1306.5653305844257,75.48802733067168,36,13,8473562,John McCarthy
2012-01,1285.5523595643997,71.5440101404275,49,16,8473562,John McCarthy
2012-02,1402.72402185223,54.77282817010388,79,31,8473562,John McCarthy
2014-01,1506.221566990907,45.131677687311175,145,69,8473562,John McCarthy
2014-02,1502.3864655962398,46.48069641803044,160,76,8473562,John McCarthy
2014-10,1514.508561738376,63.30999210712606,164,78,8473562,John McCarthy
2014-11,1519.4607900110127,55.19947087040915,181,88,8473562,John McCarthy
2014-12,1464.7396976189598,46.2309765849963,212,102,8473562,John McCarthy
2016-10,1430.3918551962356,115.75885472880488,213,102,8473562,John McCarthy
Starting,1500.0,240.0,0,0,8474589,Tyler Ennis
2011-01,1563.3204172977196,214.3047650028145,1,1,8474589,Tyler Ennis
2011-02,1443.7543700172062,185.388994287268,2,1,8474589,Tyler Ennis
2011-03,1389.2781559879527,167.07469936076353,3,1,8474589,Tyler Ennis
2011-10,1285.770285833223,157.7375163005767,4,1,8474589,Tyler Ennis
2011-11,1237.1023264412438,146.13220528166227,5,1,8474589,Tyler Ennis
2011-12,1196.053014033563,121.65501925829251,9,2,8474589,Tyler Ennis
2012-02,1479.5392407947406,34.749729702240614,171,77,8474589,Tyler Ennis
2012-03,1466.6862288654916,28.463556991597923,278,125,8474589,Tyler Ennis
2012-04,1472.7165117377476,32.21475264624814,325,147,8474589,Tyler Ennis
2013-01,1435.7379115000224,39.60343617829556,396,175,8474589,Tyler Ennis
2013-02,1436.3856186484472,26.598007872976012,541,238,8474589,Tyler Ennis
2013-03,1425.2583982733254,25.970224835063107,659,291,8474589,Tyler Ennis
2013-04,1407.0084896659368,31.661474180083452,702,305,8474589,Tyler Ennis
2014-01,1383.3430600562963,26.722788255103467,869,366,8474589,Tyler Ennis
2014-02,1368.0126976972792,33.20158320517578,902,378,8474589,Tyler Ennis
2014-03,1356.6033296799556,25.252612849179325,1055,434,8474589,Tyler Ennis
2014-04,1350.0796612514794,29.46497111015206,1123,458,8474589,Tyler Ennis
2014-10,1378.1982209435664,32.108496679484944,1175,482,8474589,Tyler Ennis
2014-11,1405.5752244336074,39.230582811475344,1189,490,8474589,Tyler Ennis
2014-12,1423.021667893114,27.205186117849852,1327,547,8474589,Tyler Ennis
2015-01,1413.5015417470513,54.420486165944766,1333,549,8474589,Tyler Ennis
2015-02,1409.4675871290317,60.427148213301635,1334,549,8474589,Tyler Ennis
2015-10,1406.268777762237,32.62111716405827,1447,594,8474589,Tyler Ennis
2015-11,1365.2553735972635,32.873398057519466,1502,611,8474589,Tyler Ennis
2015-12,1370.119120655409,40.8852554556754,1510,614,8474589,Tyler Ennis
2016-11,1425.4037449901018,85.18330027009432,1512,616,8474589,Tyler Ennis
2017-02,1365.8446890984533,77.39752792449737,1524,619,8474589,Tyler Ennis
2017-04,1351.014068323879,84.28178271440602,1525,619,8474589,Tyler Ennis
2017-10,1313.8808659336748,83.98567495968415,1527,619,8474589,Tyler Ennis
2017-11,1300.444694239242,86.05962604304406,1528,619,8474589,Tyler Ennis
2018-01,1248.1598028648573,92.94480639469542,1534,619,8474589,Tyler Ennis
2018-03,1244.6601019530995,99.82723448981727,1535,619,8474589,Tyler Ennis
2018-10,1341.943160350217,101.60050953347486,1538,621,8474589,Tyler Ennis
2018-12,1342.967973324036,99.64243609455451,1540,622,8474589,Tyler Ennis
2019-02,1375.2326730350933,109.67426952511234,1541,623,8474589,Tyler Ennis
2020-02,1284.392822046094,121.13770881846291,1543,623,8474589,Tyler Ennis
2020-03,1361.7102799002041,110.72303242094047,1547,625,8474589,Tyler Ennis
2020-10,1392.0827015630882,89.9949470698396,1554,629,8474589,Tyler Ennis
2020-11,1383.2683419393484,88.20147556214883,1556,630,8474589,Tyler Ennis
2020-12,1376.9158713793288,85.98165896122126,1559,631,8474589,Tyler Ennis
2021-02,1438.0516545334606,91.88431953274493,1563,634,8474589,Tyler Ennis
2021-03,1429.0474625640654,88.12102900722506,1566,635,8474589,Tyler Ennis
2021-04,1483.6352907316334,86.85665067079267,1568,637,8474589,Tyler Ennis
2022-01,1517.7923120960445,102.25578685424857,1569,638,8474589,Tyler Ennis
2022-02,1470.7245171121433,89.53260828147684,1574,639,8474589,Tyler Ennis
2022-03,1490.0895262389581,79.02248789903575,1581,643,8474589,Tyler Ennis
2022-10,1588.700892847091,80.42737363876823,1585,647,8474589,Tyler Ennis
2022-11,1632.847821652986,79.40435071681848,1588,650,8474589,Tyler Ennis
2022-12,1666.6939207262005,69.99543531129677,1597,657,8474589,Tyler Ennis
Starting,1500.0,240.0,0,0,8475372,Andreas Engqvist
2011-01,1427.2078933652697,106.92477117682625,14,6,8475372,Andreas Engqvist
2011-03,1369.6281988511525,97.56131843596461,19,7,8475372,Andreas Engqvist
2012-01,1403.589143980131,92.1496793192435,27,10,8475372,Andreas Engqvist
2012-02,1411.8306145410413,88.64880068415499,30,11,8475372,Andreas Engqvist
2012-03,1376.7154958442995,87.1393516687635,32,11,8475372,Andreas Engqvist
2012-10,1421.0581377342444,49.52946892104225,78,30,8475372,Andreas Engqvist
2012-11,1435.757167609649,56.24115990405573,79,31,8475372,Andreas Engqvist
Starting,1500.0,240.0,0,0,8473466,Ryan White
2011-01,1664.4508372681828,189.50303063287276,2,2,8473466,Ryan White
2011-02,1463.555810511054,116.29801170087032,9,4,8473466,Ryan White
2011-03,1497.9811652346852,76.52692730408296,24,13,8473466,Ryan White
2011-04,1430.6098162861726,51.054762899793246,55,25,8473466,Ryan White
2012-02,1448.7452500430966,70.1248508836821,66,31,8473466,Ryan White
2012-03,1460.96668105289,44.23408196212574,114,54,8473466,Ryan White
2013-01,1538.7389994677494,49.29536294797113,153,78,8473466,Ryan White
2013-02,1491.4494538514643,37.31878432135498,210,105,8473466,Ryan White
2013-03,1535.47792607602,33.71390104335155,267,138,8473466,Ryan White
2013-04,1530.039146321923,36.61978918237275,298,156,8473466,Ryan White
2014-01,1490.83548173838,55.031449664638146,308,159,8473466,Ryan White
2014-02,1484.661444872768,43.89561171004865,343,176,8473466,Ryan White
2014-03,1520.1852226293436,35.26267853408465,403,212,8473466,Ryan White
2014-04,1473.7892204839811,35.85813853001283,444,231,8473466,Ryan White
2014-10,1486.9229887963936,27.854509466384975,550,286,8473466,Ryan White
2014-11,1476.4695731730985,28.822267862087223,626,322,8473466,Ryan White
2014-12,1478.5339525386437,30.53686390315595,686,353,8473466,Ryan White
2015-01,1545.1540855400738,50.88611907856157,704,365,8473466,Ryan White
2015-02,1511.0124200862253,42.80459040983176,738,382,8473466,Ryan White
2015-03,1498.025108829625,36.91597813503463,783,405,8473466,Ryan White
2015-04,1490.8979295925615,38.62085901775661,809,418,8473466,Ryan White
2016-01,1499.854982227433,46.06755388364968,854,445,8473466,Ryan White
2016-02,1472.2010254942963,32.79700601327558,932,484,8473466,Ryan White
2016-03,1478.140814897189,30.97330958487782,996,517,8473466,Ryan White
2016-04,1483.801229323309,31.552230185155594,1054,549,8473466,Ryan White
2016-10,1488.1995755243368,32.26494234161584,1106,578,8473466,Ryan White
2016-11,1498.1309456351069,33.521411027864296,1150,601,8473466,Ryan White
2016-12,1477.8482375903384,34.664078382094324,1190,620,8473466,Ryan White
2017-03,1484.7124386656642,63.4994690202704,1198,624,8473466,Ryan White
2017-04,1456.0533144886808,64.65895035503121,1202,625,8473466,Ryan White
2017-10,1387.8770326634103,61.451913842006,1210,626,8473466,Ryan White
2017-11,1386.6006257303286,45.21420128127625,1246,641,8473466,Ryan White
2017-12,1421.5426942339693,39.77248791075284,1283,660,8473466,Ryan White
Starting,1500.0,240.0,0,0,8473962,Teddy Purcell
2011-01,1292.6886802341974,173.84361975783102,3,0,8473962,Teddy Purcell
2011-02,1440.6864353491392,128.58682158319704,9,3,8473962,Teddy Purcell
2011-03,1427.2611706753505,91.41343353555511,18,6,8473962,Teddy Purcell
2011-04,1363.7260139226655,70.23033366992705,32,9,8473962,Teddy Purcell
2011-10,1382.8288155737353,64.36751997868129,41,13,8473962,Teddy Purcell
2011-11,1344.179435580896,65.37858815666296,45,13,8473962,Teddy Purcell
2011-12,1343.2433764244872,67.53042335615052,48,14,8473962,Teddy Purcell
2012-01,1332.6675516836408,83.00224827568734,49,14,8473962,Teddy Purcell
2012-02,1346.3634784848925,83.1844106788707,51,15,8473962,Teddy Purcell
2012-03,1311.3490756050085,82.13993064297222,54,15,8473962,Teddy Purcell
2012-04,1301.3824229816082,84.74311869850236,55,15,8473962,Teddy Purcell
